OGLE-BLG-CEP-001	F	2.5975725	0.523	0.505	4.470	0.297	2.794
OGLE-BLG-CEP-002	F	2.0255730	0.730	0.524	4.242	0.353	2.410
OGLE-BLG-CEP-003	F1	1.2357294	0.046	0.000	-99.99	0.000	-99.99
OGLE-BLG-CEP-004	12	0.2400461	0.110	0.116	4.191	0.029	2.088
OGLE-BLG-CEP-005	F	3.7955932	0.409	0.443	4.753	0.212	3.242
OGLE-BLG-CEP-007	F	1.5455011	0.589	0.474	4.179	0.294	2.156
OGLE-BLG-CEP-009	12	0.2725669	0.103	0.107	4.132	0.017	1.812
OGLE-BLG-CEP-015	1	0.5299654	0.166	0.126	3.669	0.032	1.003
OGLE-BLG-CEP-016	123	0.2954534	0.118	0.115	4.024	0.019	1.491
OGLE-BLG-CEP-018	F	2.8467837	0.351	0.599	4.163	0.000	-99.99
OGLE-BLG-CEP-019	12	0.2865322	0.141	0.217	3.592	0.051	1.221
OGLE-BLG-CEP-020	1	0.4406742	0.127	0.065	2.589	0.018	5.898
OGLE-BLG-CEP-021	F1	0.7785541	0.056	0.042	4.525	0.025	5.023
OGLE-BLG-CEP-024	1	0.3554251	0.350	0.109	3.531	0.050	0.372
OGLE-BLG-CEP-027	1	0.2965282	0.109	0.120	3.919	0.018	1.422
OGLE-BLG-CEP-029	F	2.3760846	0.334	0.311	4.642	0.186	2.847
OGLE-BLG-CEP-030	123	0.2303703	0.111	0.134	3.765	0.021	1.908
OGLE-BLG-CEP-031	F	12.9751466	0.617	0.393	4.768	0.121	3.246
OGLE-BLG-CEP-032	F	3.7364216	0.567	0.422	4.512	0.227	2.801
OGLE-BLG-CEP-033	1	0.3935104	0.241	0.043	2.539	0.085	6.141
OGLE-BLG-CEP-034	1	0.4746705	0.248	0.081	2.702	0.127	5.846
OGLE-BLG-CEP-035	1	0.4685730	0.236	0.081	3.204	0.059	5.994
OGLE-BLG-CEP-036	1	1.1949524	0.344	0.173	4.595	0.038	2.798
OGLE-BLG-CEP-037	F	1.6005482	0.548	0.476	4.247	0.305	2.227
OGLE-BLG-CEP-038	F	5.2447998	0.536	0.445	4.857	0.189	3.323
OGLE-BLG-CEP-039	1	1.3584075	0.111	0.113	3.955	0.073	2.058
OGLE-BLG-CEP-040	F	3.0220740	0.303	0.295	4.776	0.095	2.754
OGLE-BLG-CEP-041	123	0.2396132	0.132	0.134	3.771	0.040	1.607
OGLE-BLG-CEP-042	F	3.7808614	0.463	0.401	4.817	0.000	-99.99
OGLE-BLG-CEP-043	12	0.3600391	0.116	0.124	3.868	0.000	-99.99
OGLE-BLG-CEP-044	1	0.5829351	0.203	0.089	3.696	0.033	-99.99
OGLE-BLG-CEP-045	F	2.9381543	0.621	0.508	4.474	0.320	2.686
OGLE-BLG-CEP-046	1	4.2911990	0.289	0.176	4.829	0.051	3.440
OGLE-BLG-CEP-047	1	3.9662263	0.164	0.118	4.414	0.073	1.550
